lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2015-2021 - by Cláudio Vieira e Evandro Neto
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Bem, não é tão simples como parece. As armas contundentes não são tão danosas como as armas afiadas, desta forma lhe custará mais para derrotar seus inimigos. E acredite em mim, se você dar-lhes uma escolha, a maioria dos vermes que encontrar preferirá matá-l{o/a} do que capturá-l{o/a}. Então não espere cortesia quando sacar um clube no lugar de uma espada. Além disso, ter que arrastar os prisioneiros em torno de seu grupo o deixará mais lento, razão pela qual alguns preferem simplesmente libertar seus prisioneiros depois de uma batalha. Isso é loucura! Como alguém pode rejeitar todo esse dinheiro, hã?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Isso é tudo?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Ah, sim, uma última coisa. Lidar corretamente com prisioneiros não é fácil, pode-se dizer que é um tipo específico de habilidade. Se você deseja capturar muitos prisioneiros, deve tentar aprender os truques por conta própria... caso contrário, não conseguirá manter um só homem que pegar.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Obrigado, tentarei me lembrar.
dlga_ramun_talk:ramun_leave|É melhor eu ir.
dlga_ramun_leave:close_window|Lembre-se, você pode me trazer qualquer prisioneiro que capturar. Pagarei uma boa quantia por cada um.
dlga_start:novicemaster_introduce|Eu sou o Doctore. Sou responsável pela seleção de lutadores, preparação e treinamento da luta. Não importa se é um escravo recém-adquirido ou um jovem nobre em busca de fama, qualquer pessoa com a ambição de participar de nossas lutas tem que passar em meus testes. O Ludus também oferece treinamento básico, gratuitamente. Use essa oportunidade e treine até que seus músculos doam. Não há recompensas sem muito trabalho. Qual é o seu nome?
dlga_novicemaster_introduce:novicemaster_introduce_2|{playername}.
dlga_novicemaster_introduce_2:novicemaster_introduce_3|Muito prazer, {playername}. Você gostaria de entrar na arena?
dlga_novicemaster_introduce_3:novicemaster_introduce_4|Acho que sim.
dlga_novicemaster_introduce_4:novicemaster_introduce_5|Ótimo. Então, vamos começar imediatamente, mas antes de você entrar no campo de treinamento, deixe-me falar sobre o básico do combate. Esta é geralmente a diferença entre uma pilha de denares e uma crânio arrebentado, então ouça com atenção.
dlga_novicemaster_introduce_5:novicemaster_tell_theory|Estou ouvindo.
dlga_novicemaster_tell_theory:novicemaster_tell_theory_2|Certo. Como lutador a primeira coisa que você deve saber é se defender. Manter o dano longe de você é a primeira regra de combate, e é muito mais importante do que causar danos aos outros. Todos podem brandir uma espada e esperar cortar alguns membros ao longo do caminho, mas apenas os defensores experientes vivem para contar isso.
dlga_novicemaster_tell_theory_2:novicemaster_tell_theory_3|Agora, se defender é mais fácil se você estiver equipado com um escudo. Apenas bloqueie com seu escudo. [Mantenha pressionado o botão direito do mouse para se defender com o escudo.] Dessa forma você será capaz de desviar todos os ataques que vierem de sua frente. No entanto, você ainda estará aberto a golpes de seus lados ou costas.
dlga_novicemaster_tell_theory_3:novicemaster_tell_theory_4|E se eu não tiver escudo?
dlga_novicemaster_tell_theory_4:novicemaster_tell_theory_5|Então você terá que usar sua arma para bloquear seu oponente. Isso é um pouco mais difícil do que defender com um escudo. Defendendo-se com uma arma, você só pode bloquear UMA direção de ataque. Ou seja, você bloqueia contra golpes acima da cabeça, laterais ou estocadas. Portanto, você deve observar seu oponente com atenção e começar a bloquear DEPOIS que ele iniciar o ataque. Desta forma você será capaz de bloquear contra a direção de seu ataque atual. Se você começar a bloquear ANTES de fazer seu movimento, ele pode apenas atacar em outra direção diferente da qual você está bloqueando e acertar.
dlga_novicemaster_tell_theory_5:novicemaster_tell_theory_6|E quanto ao ataque?
dlga_novicemaster_tell_theory_6:novicemaster_tell_theory_7|O mais importante sobre o ataque é manter o controle e lutar com calma... [Basicamente, pressionar e segurar o botão esquerdo do mouse prepara um ataque e liberar o botão esquerdo do mouse para iniciar o ataque.]
dlga_novicemaster_tell_theory_7:novicemaster_talk|Depois de toda essa conversa, você deve estar ansioso para experimentar. Você gostaria de algum treinamento prático básico?
dlga_start:novicemaster_enter_fight|Essa foi uma boa luta. 
dlga_start:novicemaster_enter_fight.1|Ha! Parece que você começou a mancar um pouco. Não se preocupe, mesmo as derrotas têm seu valor, desde que você aprenda com elas. Sacuda a poeira e volte lá. Não há outra maneira de ganhar.
dlga_start:novicemaster_talk|Olá, {playername}.
dlga_novicemaster_pre_talk:novicemaster_talk|O que é isso então?
dlga_novicemaster_talk:novicemaster_enter_fight|Eu gostaria de treinar.
dlga_novicemaster_talk:novicemaster_tell_theory|Você pode repassar os fundamentos do combate mais uma vez?
dlga_novicemaster_talk:novicemaster_gladiator_licensing|O que eu preciso fazer para me tornar u{m/ma} gladiado{r/ra}?
dlga_novicemaster_talk:novicemaster_gladiator_licensing.1|Por favor, lembre-me, o que eu preciso fazer para me tornar u{m/ma} gladiado{r/ra}?
dlga_novicemaster_talk:novicemaster_gladiator_licensing_2|Por favor, lembre-me, o que eu preciso fazer para me tornar u{m/ma} gladiado{r/ra}?
dlga_novicemaster_talk:novicemaster_gladiator_evaluation|Eu gostaria de ser avaliad{o/a}. Você pode verificar minhas habilidades?
dlga_novicemaster_talk:novicemaster_not_ready|Tenho que ir agora.
dlga_novicemaster_gladiator_licensing:novicemaster_talk|Não podemos simplesmente deixar pessoas aleatórias entrarem na arena. Antes disso, precisamos verificar suas habilidades e ter certeza de que você sabe pelo menos o básico de tudo. Primeiro você precisa concluir um curso de treinamento. Depois que terminar, avaliaremos suas habilidades. Se você passar em nossas minuciosas verificações, poderá lutar. No início apenas no modo de luta mais fácil presente no campo de provas do Ludus. Se você se sair excepcionalmente bem, poderá finalmente receber o status de gladiado{r/ra} e com ele o direito de competir no modo mais difícil contra os melhores lutadores que o mundo já viu.
dlga_novicemaster_gladiator_licensing_2:novicemaster_talk|Você passou no treinamento, agora você precisa passar na avaliação.
dlga_novicemaster_gladiator_evaluation:novicemaster_gladiator_evaluation_2|Certo, você concluiu seu treinamento com sucesso. A avaliação é um procedimento complicado e demorado. Não temos lucro com isso, mas há custos a serem cobertos. O preço é de 100 denares. Você ainda está dispost{o/a} a fazer isso?
dlga_novicemaster_gladiator_evaluation_2:novicemaster_gladiator_evaluation_3|Sim, estou de acordo, aqui está.
dlga_novicemaster_gladiator_evaluation_2:novicemaster_pre_talk|Não, mudei de ideia.
dlga_novicemaster_gladiator_evaluation_3:novicemaster_gladiator_evaluation_4|Está bem. Deixe todo o seu equipamento aqui e prossiga por esta porta. Atrás de você.
dlga_novicemaster_gladiator_evaluation_3:novicemaster_talk|Desculpe, mas isso não é gratuito.
dlga_novicemaster_gladiator_evaluation_4:novicemaster_talk|Parabéns! Você finalmente tem a oportunidade de mostrar e provar suas habilidades na arena. Aqui está o seu passe.
dlga_novicemaster_gladiator_evaluation_4:novicemaster_talk.1|Você precisa melhorar nas seguintes áreas:^^Habilidades:^{s1}{s2}{s3}{s4}{s5}{s6}{s7}{s8}{s9}^^Proficiência em armas:^{s10}{s11}{s12}{s13}{s15}{s16}^^Trabalhe duro nisso e depois volte para ser avaliad{o/a} novamente,^se é que você deseja se tornar u{m/ma} gladiado{r/ra}!
dlga_novicemaster_enter_fight:novicemaster_enter_fight|O curso de treinamento tem quatro níveis, cada um mais difíceis do que o anterior. Para terminar um nível e avançar para o próximo você precisa vencer três lutas consecutivas. Boa sorte.
dlga_novicemaster_enter_fight:novicemaster_are_you_ready|Você passou em todos os estágios de treinamento, mas se quiser, ainda pode praticar. Está pront{o/a}?
dlga_novicemaster_enter_fight:novicemaster_enter_fight.1|Muito bem, {rapaz/moça}. Com esta vitória, você avançou para o próximo nível de treinamento. De agora em diante, seus oponentes serão lutadores regulares, não a ralé de rua, então fique alerta.
dlga_novicemaster_enter_fight:novicemaster_enter_fight.2|Muito bem, {rapaz/moça}. Bem-vind{o/a} ao terceiro nível de treinamento. De agora em diante, seus oponentes serão lutadores veteranos; soldados, homens a um passo da arena. Esses caras sabem alguns truques sujos, então mantenha sua guarda alta.
dlga_novicemaster_enter_fight:novicemaster_enter_fight.3|Você tem o coração de u{m/a} campe{ão/ã}, {rapaz/moça}, e o braço de espada para combinar. De agora em diante, seus oponentes serão lutadores campeões. Essa é a nata da nata, chamamos todo lutador que ganhou o direito de lutar na arena de campeão. Se você conseguir vencer três deles consecutivamente, seu treinamento estará terminado.
dlga_novicemaster_enter_fight:novicemaster_finish_training|Alegra meu coração ver um talento tão promissor. Você passou em todos os níveis de treinamento. Agora pode dizer a todos que foi treinad{o/a} pelo Doctore, do Ludus Calradius.
dlga_novicemaster_finish_training:novicemaster_finish_training_2|Obrigad{o/a} pela lição, mestre.
dlga_novicemaster_finish_training_2:close_window|Desejo-lhe boa sorte nos torneios. E não esqueça que, se quiser praticar com a espada, é só vir aqui e falar comigo.
dlga_novicemaster_enter_fight:novicemaster_are_you_ready.1|Seu próximo oponente será um {s9}. Você precisa vencer mais {reg8} lutas para avançar para o próximo nível. Você está pront{o/a}?
dlga_novicemaster_are_you_ready:novicemaster_ready_to_fight|Sim.
dlga_novicemaster_ready_to_fight:close_window|Vá em frente, então. Boa sorte.
dlga_novicemaster_are_you_ready:novicemaster_not_ready|Um momento. Ainda não estou preparado.
dlga_novicemaster_not_ready:close_window|Eh, nunca conseguirá se não praticar.
dlga_start:close_window.5|Peço humildemente que {o senhor/a senhora} mantenha as mãos onde eu possa vê-las.
dlga_start:manhunter_talk_b|Ei, você! Viu algum bandido por aqui?
dlga_manhunter_talk_b:manhunter_talk_b1|Sim, um grupo deles foi por ali há cerca de uma hora.
dlga_manhunter_talk_b1:close_window|Eu sabia! Vamos, rapazes, vamos pegar esses cães! Obrigado, {meu amigo/minha amiga}.
dlga_manhunter_talk_b:manhunter_talk_b2|Não, não vi nenhum bandido ultimamente.
dlga_manhunter_talk_b2:close_window|Bah! Eles se escondem como ratos neste país, mas vamos persegui-los e escorraçá-los algum dia. Mais cedo ou mais tarde...
dlga_looters_1:looters_2|{s4}
