qstr_cloak_green|capa verde
qstr_Mercantilism:|Mercantilismo:
qstr_High_centralization_|Alta centralização reduz a ineficácia dos impostos para o rei e aumenta para os vassalos. Isso irá interferir nas relações entre o governante e seus vassalos.
qstr_High_aristocracy_wil|Alta aristocracia irá melhorar a relação entre o rei e seus vassalos, os quais serão capazes de aumentar seus exércitos. Isso diminuirá o comércio.
qstr_High_serfdom_reduces|Alta servidão reduz a ineficácia dos impostos para o rei e seus vassalos, que poderão manter maiores exércitos. Isso diminui a moral das tropas.
qstr_High_troop_quality_i|Alta qualidade das tropas aumenta a força das tropas, mas diminui o tamanho do exército.
qstr_Mercantilistic_polic|Políticas Mercantilistas maximizam as exportações enquanto minimizam as importações, e aumentam a regulação da indústria pelo governo.
qstr_Cancel|Cancelar
qstr_Dictate_the_peace_te|Ditar os termos de paz
qstr_Select_the_castle_an|Selecione o castelo e a quantidade de dinheiro, e marque as caixas para ativar a demanda. As demandas serão combinadas se ambas as caixas forem marcadas.
qstr_1000_denars|1000 denares
qstr__Faction_Relations_R| Relatório da Relação das Facções
qstr__Return_to_menu_| Voltar ao menu
qstr_Your_kingdom|Seu reino
qstr_Player^Relation|Jogador^Relação
qstr_War|Guerra
qstr_Casus_Belli|Provocações
qstr_Peace|Paz
qstr_Truce|Trégua
qstr_Alliance|Aliança
qstr_Defense|Defensa
qstr_Trade|Barganha
qstr_{reg59?{reg59}_days:|{reg59?{reg59} dias:}
qstr_{reg61}|{reg61}
qstr_Vaegir_s_Tsardom|Czarado Vaegir
qstr_{s9}|{s9}
qstr_Loyal|Leal
qstr_Devoted|Dedicado
qstr_Fond|Afetuoso
qstr_Gracious|Generoso
qstr_Friendly|Amigável
qstr_Supportive|Solidário
qstr_Favorable|Favorável
qstr_Cooperative|Cooperativo
qstr_Accepting|Tolerante
qstr_Indifferent|Indiferente
qstr_Suspicious|Receoso
qstr_Grumbling|Reticente
qstr_Hostile|Hostil
qstr_Resentful|Ressentido
qstr_Angry|Furioso
qstr_Hateful|Odioso
qstr_Revengeful|Rancoroso
qstr_Vengeful|Vingativo
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61} {reg58?({reg58} U) :}Centros
qstr_{reg62}_Caravans|{reg62} Caravanas
qstr_{reg60}_{reg59?_{reg|{reg60} {reg59?({reg59} P) :}Lordes
qstr_Sell_items_automatic|Vender os itens automaticamente quando sair:
qstr_Price_limit_for_auto|Preço limite para a auto-venda:
qstr_Item_types_for_auto_|Tipos de itens aptos à auto-venda:
qstr_Select_all|Selecionar tudo
qstr_Select_invert|Inverter seleção
qstr_Buy_food_automatical|Comprar comida automaticamente quando sair:
qstr_*|*
qstr__Courtships_in_progr| Cortejos em andamento 
qstr__Known_Lords_by_Rela| Lordes conhecidos segundo a relação 
qstr__Character_&_Compani| Personagem e Companheiros 
qstr__Done_| Feito 
qstr_Your_supporters|Seus apoiadores
qstr_Swadians|Swadianos
qstr_Vaegirs|Vaegires
qstr_Khergits|Khergitas
qstr_Nords|Nórdicos
qstr_Rhodoks|Rhodoks
qstr_Sarranids|Sarranides
qstr_All_Factions|Todas as Facções
qstr_Manage_Ship|Gerenciar os Barcos
qstr_{s12}Cogs_are_large_|{s12}Cocas são barcos com velas largas, seus arcos e popas são construídos em um nível maior que o resto da embarcação, de modo a formar uma estrutura semelhante a um castelo, com o intuito de defendê-lo de inimigos através do uso de arqueiros. A coca foi a primeira espécie de embarcação que usou a nova ideia de um tipo de leme posicionado na popa com o propósito de condução. De qualquer modo, por ser uma nova ideia, muitas cocas continuam equipadas com remos, também conhecidos como lemes laterais. As primeiras cocas não são muito largas e possuem cascos abertos que possibilitam um amplo uso das velas.^^Nos dias de hoje, as cocas são usadas para navegar através de águas violentas e seus cascos são construídos com clínquer, o qual provê força e robustez adicional. Seus cascos também aumentaram de tamanho, pois assumiram a tarefa de transportar cargas.^^Geralmente construída com madeira de carvalho, as cocas tem apenas um único longo mastro, que sustenta uma enorme vela quadrada. Seu tamanho é proporcional ao tamanho do mastro. A única desvantagem dessa construção é a impossibilidade de navegar contra o vento. De qualquer modo, isso se torna possível através de uma pequena tripulação.
qstr_Select_ship:|Selecionar barco:
qstr_Name_your_ship:|Nome do seu barco:
qstr_Rename_Ship.|Renomear o Barco.
qstr_Send_ship_to_port:|Enviar o barco para o porto de:
qstr_Verify.|Verificar.
qstr_Manage_the_crew.|Gerenciar a tripulação.
qstr_View_the_ship_regist|Ver o registro dos barcos.
qstr_This_is_your_ship__{|Esse é o seu barco "{s13}". A tripulação é composta de {reg7} homens.^^
qstr_Make_sure_you_select|Tenha certeza de que selecionou um barco
qstr_Your_ship_{s15}_succ|Seu barco {s15} zarpou com sucesso para {s16}.
qstr_Make_sure_a_ship_is_|Tenha certeza de que um barco está selecionado, que tenha tripulação suficiente e que haja espaço para outra embarcação na cidade alvo.
qstr_Merchant_Ledger|Registros de Comércio
qstr_____Assessed_Profit_|    Lucro Avaliado por Subtítulo Aqui
qstr_{s0}_products_from_{|{s0}, produtos em {s1}:
qstr_^{s1}_sold_in_{s2}_w|^Vender {s1} em {s2} poderia gerar {reg0} denares de lucro.{s3}
qstr___Assessed_Profit_by|  Assessed Profit by Log Entry Date
qstr_^{s1}_sold_in_{s2}_wo|^Vender {s1} em {s2} poderia gerar {reg0} denars de lucro (as of {s0}).{s3}
qstr_Production_in_{s1}|Produção em {s1}
qstr_Assessed_Profit_by_T|Lucro Avaliado Pela Produção da Cidade
qstr_^{s1}_purchased_in_{|^{s1} comprado em {s2} poderia ganhar {reg0} denares (a partir de {s0}).{s3}
qstr_Demand_in_{s1}|Demanda em {s1}
qstr_Assessed_Profit_by_To|Lucro Avaliado Pela Demanda da Cidade
qstr_^Buy_in:_{s1}___sell|^Comprar em: {s1} - Vender em: {s2} por {reg0} denares lucro (a partir de {s0}).{s3}
qstr_Supply_and_Demand_of|Oferta e demanda de {s1}
qstr_____Assessed_Profit_b|    Lucro Avaliado dos Bens de Comércio
qstr_Trim_ledger_entries_|Cortar entradas do registro anteriores a:                                              dias.
qstr_Remove_entries.|Remover entradas.
qstr_Trim_ledger_entries_c|Corte as entradas do registro que cobrem o seguinte produto comercial:
qstr_Use_slider_to_choose|Use o controle deslizante para escolher o item
qstr_Trim_ledger_entries_f|Cortar entradas do registro para mercadorias vinculadas a esta cidade:
qstr_Use_slider_to_choose_|Use o controle deslizante para escolher a cidade
qstr_Remove_entries__Prod|Remover entradas (produção).
qstr_Remove_entries__Dema|Remover entradas (demanda).
qstr_Trim_ledger_entries_w|Cortar as entradas do registro com menos de:                                              denares de lucro.
qstr_Ask_about_the_potent|Perguntar sobre o lucro potencial dos seguintes itens^    toda vez que você avaliar os preços no mercado:
qstr____________Log_Entry|           Opções de entrada de registros
qstr_Add_Note|Add Nota
qstr_Clear_Notes|Limpar Notas
qstr_Use_a_/\__caret__for|Use o /\ (circunflexo) para uma quebra de linha.
qstr_Chronological_Log|Registro Cronológico
qstr_Production_Towns|Cidades Produtoras
qstr_Purchasing_Towns|Cidades Compradoras
qstr_Trade_Goods|Comércio de Bens
qstr_Manage_Ledger|Gerenciar Registros
qstr_{s1}^+{s0}|{s1}^+{s0}
qstr_{reg0}_entries_remov|{reg0} entradas removidas do registro.
qstr_This_area_of_{s1}_ca|Essa região de {s1} pode ser facilmente descrita como o núcleo principal da cidade.^^Você quase pode ver os acordos que estão sendo feitos aqui, o dinheiro que vai e vem em taxas aparentemente infinitas. Aqui você pode comprar a terra que é cultivada fora dos portões da cidade e se beneficiar daqueles que trabalham duro. É claro que você não deve ter dinheiro suficiente pra isso, mas os banqueiros sabem como fazer isso mudar.
qstr_{reg1}_people_live_i|{reg1} pessoas vivem em {s1}. Há atualmente {reg2} acres de terra disponíveis ao cultivo para provê-las com comida e outros bens. Você possui {reg3} acres de terra nessa cidade. Atualmente você deve aos banqueiros de {s1} {reg4} denares. A taxa de juros é de 20% e o período do contrato estende-se por 2 semanas. Se você não providenciar o pagamento da sua dívida antes do prazo final, os juros aumentam para 40%. Comprar um acre já existente custa {reg9} denares, e pode ser vendido por {reg10} denares. Cultivar um novo {reg11} denars. A renda paga aos proprietários atualmente acumula em {reg13} denares por acre a cada 2 semanas. Os produtos são vendidos na cidade, então a terra não irá gerar renda se a cidade estiver completamente bem suprida.
qstr_Choose_how_many_acre|Escolha quantos acres deseja vender :
qstr_Choose_how_many_acres|Escolha quantos acres deseja comprar :
qstr_{s2}|{s2}
qstr_Verify|Verificar
qstr_Choose_how_much_mone|Escolha quanto dinheiro deseja pegar emprestado :
qstr_Buy_and_prepare_uncu|Comprar e preparar terra não cultivada :
qstr_Pay_off_your_debt_:|Pagar sua dívida :
qstr_{reg5}|{reg5}
qstr_You_cant_sell_0_acre|Você não pode vender 0 acres de terra.
qstr_You_cant_buy_0_acres|Você não pode comprar 0 acres de terra.
qstr_{reg6}|{reg6}
qstr_You_cant_borrow_0_de|Você não pode pegar 0 denares de empréstimo.
qstr_{reg7}|{reg7}
qstr_{reg8}|{reg8}
qstr_You_cant_pay_back_0_|Você não pode pagar 0 denares.
qstr_Town|Cidade
qstr_Acres|Acres
qstr_Owned|Comprado
qstr_Land_Value|Valor da Terra
qstr_Credit|Crédito
qstr_Debt|Dívida
qstr_Deadline|Prazo final
qstr_{reg2}|{reg2}
qstr_{reg3}|{reg3}
qstr_{reg4}|{reg4}
qstr_What_will_your_party|Como será seu grupo será conhecido?
qstr_By_the_name_entered_|Pelo nome inserido acima.
qstr_Simply_by_my_name:_{|Pelo meu nome: {s5}.
qstr_0000|00,00
qstr_Bet:_{reg51}Denar|Aposta: {reg51}
qstr_Money:_{reg1}Denar|Dinheiro: {reg1}
qstr_{reg1}{reg2}|{reg1},{reg2}
qstr_Start_Game|Iniciar Jogo
qstr_Find_the_Lady|Encontre a Lady
qstr_You_win!_Try_again?|Você venceu! Quer ir outra vez?
qstr_You_lose._Try_again?|Você perdeu. Quer tentar novamente?
qstr_Yes|Sim.
qstr_No|Não.
qstr_You_don_t_have_enoug|Você não possui dinheiro suficiente para comprar um barco.
qstr_Roll_Dice|Rolar Dados
qstr_{s1}_s_turn|Turno {s1} Taverneiro
qstr_Draw!_Bet_Twice?|Draw! Dobrar aposta?
qstr_Relation_with_the_fa|Relação com as facções
qstr_Click_the_totems_to_|Clique nos brasões para ver a relação com os lordes
qstr_{s1}^^{reg0}__{s3}_|{s1}^^{reg0} ({s3})
qstr_Relation_with_the_lo|Relação com os lordes do {s1}
qstr_{reg0}|{reg0}
qstr_Factions|Facções
qstr_Show_towns|Mostrar cidades
qstr_Show_castles|Mostrar castelos
qstr_Show_villages|Mostrar aldeias
qstr_Tip:_move_the_mouse_|Dica: mova o mouse sobre os quadrados pretos para ver seus nomes.
qstr_The_World_Map|Mapa Mundo
qstr_Click_the_avatars_to|Clique nos avatares para ver detalhes sobre eles
qstr_Others|Outros
qstr_Outlaws|Foras-da-lei
qstr_Mercenaries|Mercenários
qstr_Click_the_center_but|Clique no botão central para alternar a facção.^Clique no avatares para ver os detalhes de cada um.
qstr_Previous|Anterior
qstr_Next|Próximo
qstr_Class_of_troop|Classe da tropa
qstr_{s1}^HP:_{reg0}|{s1}^HP: {reg0}
qstr_Attributes|Atributos
qstr_{s1}_{reg0}/63_|{s1}({reg0}/63)
qstr_Skills|Habilidades
qstr_{s1}_{reg2}/{reg3}_|{s1}({reg2}/{reg3})
qstr_Weapon_Proficiencies|Proficiências
qstr_{s1}_{reg0}/699_|{s1}({reg0}/699)
qstr_Equipments|Equipamentos
qstr_One_Handed_Weapons|Armas de Uma Mão
qstr_Two_Handed_Weapons|Armas de Duas Mãos
qstr_Polearms|Armas de Haste
qstr_Ranged_Weapons|Armas de  Longo Alcance
qstr_Shields|Escudos
qstr_Helmets|Elmos
qstr_Armors|Armaduras
qstr_Boots|Botas
qstr_Gauntlets|Manoplas
qstr_Horses|Cavalos
qstr_Books|Livros
qstr_Click_on_a_book_on_t|Clique esquerdo no livro para selecioná-lo, então clique no nome de um companheiro para definir o leitor do livro ou defina o leitor como Ninguém.
qstr_Reset_All|Redefinir Tudo
qstr_Auto_Distribute|Auto-Distribuição
qstr_Re_sort|Re-sort
qstr_Import_books|Importar livros
qstr_Export_book|Exportar livros
qstr_Reference_Books_{reg|Livros de Referência({reg3}/{reg4})
qstr_{s1}^Holder:_{s2}|{s1}^Leitor: {s2}
qstr_Readable_Books_{reg3|Livros disponíveis({reg3}/{reg4})
qstr_Set_as_None|Definir como Ninguém
qstr_{s1}_can_t_read_|{s1}(não pode ler)
qstr_{s1}_already_read_|{s1}(pronto para ler)
qstr_Plan_Deployment|Planejamento
qstr_You_will_have_{reg1}|Você terá {reg1} tropas prontas quando a batalha começar
qstr_Troop|Tropa
qstr_#_at_start__/_#_in_p|# no início  / # no grupo
qstr_/_{reg0}|/ {reg0}
qstr_of_{reg0}_troops|de {reg0} tropas
qstr_Ready_Troops|Tropas Prontas
qstr_Reassess|Reavaliar
qstr_Scrap_All|Remover tudo
qstr_Too_many_troops^Chec|Muitas tropas^Conferir quantidade disponível
qstr_Initial|Inicial
qstr_Movement_1|Movimento 1
qstr_Movement_2|Movimento 2
qstr_Formation|Formação
qstr_Attack|Atacar
qstr_Weapon_Type|Tipo de Arma
qstr_Shield|Escudo
qstr_Skirmish|Escaramuça
qstr_Hold_Position|Manter Posição
qstr_Back_10|Voltar 10 passos
qstr_Forward_10|Avançar 10 passos
qstr_Repeat_x|Repetir x
qstr_Square|Quadrado
qstr_Wedge|Cunha
qstr_Shieldwall|Parede de Escudos
qstr_Ranks|Fileiras
qstr_Ranged|Armas de Longo Alcance
qstr_Two_Handed|Duas Mãos
qstr_One_Handed|Uma Mão
qstr_No_Shields|Sem Escudos
qstr_Use_Shields|Usem Escudos
qstr_Avoid_Melee|Evitem combate corporal
qstr_Turn_to_weapon_order|Ir para as ordens de armas...
qstr_Prepare_Orders|Preparar Ordens
qstr_Dispatch_Orders|Despachar Ordens
qstr_...Turn_to_positioni|... Ir para as ordens de posicionamento
qstr_Record_Battle_Size_a|Lembre-se do Tamanho das Batalhas definido nas Opções
qstr_Record_Battle_Size_as|Lembre-se do Tamanho das Batalhas definido nas Opções:
qstr_The__Weapon_Use_Fixe|O 'Usar Correções de Arma' muda a decisão do NPC-^fazendo com que ele lute de acordo com os tipos de arma.^^Desmarque as caixas se você não gostar da mudança.
qstr_Use_NPC_Lancer_Fix:|Usar Correção de Lança de Cavalaria do NPC:
qstr_Use_NPC_Horse_Archer|Usar Correção de Arma para NPC Arqueiro Montado:
qstr_Use_NPC_Spear/Polear|Usar correção de Lança/Arma de Haste do NPC:
qstr_Use_Pike/Horse_Damag|Usar Ajuste de Dano entre Lança/Cavalo:
qstr_Reassign_De_horsed_C|Redistribuir Cavalaria sem cavalo para:
qstr_Reassign_No_Ammo_Arc|Redistribuir Arqueiros sem munição para:
qstr_Enable_Battle_Contin|Habilitar Continuação da Batalha:
qstr_Batt._Cont._Charge_a|Batt. Cont., Atacar depois do KO:
qstr_Formations_Battle_AI|IA das Formações de Batalha:
qstr_Enable_AI_to_use_Spe|Habilitar IA para usar Ordens Especiais:
qstr_Enable_Bodyguards_in|Habilitar Guarda-costas nas Cidades/Aldeias:
qstr_Enable_ranged_penalt|Habilitar penalidaade a distância pela chuva:
qstr_Disable_Companions__|Desabilitar reclamações dos Companheiros:
qstr_Enable_the_cheat_men|Habilitar o menu de trapaças:
qstr_{!}__Disabled__|{!}- Desativado -
qstr_Charge_All|Todos Ataquem
qstr_Formations_AI|Formações - IA
qstr_Native_AI_w/Formatio|IA do Native com Formações
qstr_PBOD_Mod^Options|PBOD Mod^Opções
qstr_Mouse_over_options_f|Mouse sobre opções para informações adicionais.
qstr_Restore_Defaults|Restaurar Padrão
qstr_Key_Settings|Configurações de Teclas
qstr_Weapon_Use_Fix_for_L|A Correção de Arma para NPC Lanceiro forçará as unidades montadas a usar lanças, a menos que estejam cercadas por inimigos.
qstr_Weapon_Use_Fix_for_H|A Correção de Arma para NPC Arqueiro Montado forçará as unidades montadas com arco a usá-los, a menos que fiquem sem munição.
qstr_Weapon_Use_Fix_for_S|A Correção de Arma para NPC Infantaria forçará as unidades de infantaria a usar armas de haste, a menos que estejam cercadas por inimigos.
qstr_Damage_tweaks_will_g|O Ajuste de Dano dará um amplo aumento no dano de lanças contra cavalos e o dano de atropelo dos cavalos na infantaria, em uma tentativa de compensar o pobre uso de armas de haste e ataque com cavalo pela IA.
qstr_Mounted_bots_once_th|Tropas montadas, uma vez que seus cavalos morram, podem ser redistribuídas para a divisão de sua escolha. Se ativo, elas passarão a fazer parte da infantaria.
qstr_Foot_archer_bots_onc|Arqueiros à pé, uma vez que estejam sem munição, podem ser redistribuídos para a divisão de sua escolha. Se ativo, eles passarão a fazer parte da infantaria.
qstr_Battle_Continuation_|Continuação da Batalha permite que suas tropas continuem lutando após você ser nocauteado.
qstr_If_Battle_Continuati|Se a Continuação da Batalha está habilitada, você pode escolher o que suas tropas irão fazer depois que você estiver noucauteado; Desabilitado as tropas continuarão com as ordens anteriores; Todos Ataquem dará a todos uma ordem de atacar; Formações da IA (se habilitada para a IA) vai permitir a nova IA tomar as decisões por você.
qstr_Select_your_prefered|Selecione sua IA de Batalha preferida: "Desativado": é a IA do Native; "IA do Native com Formações": é a IA do Native, mas remove as formações básicas; "Formações - IA": permite que a IA use formações e altere as decisões durante o combate, isso deixa a experiência de batalha mais REALISTA.
qstr_Enabling_AI_Special_|Habilitando Ordens Especiais da IA permite que os inimigos usem salva de armas (Besteiros), modo escaramuça (arqueiro), e posicionar lanças (infantaria com armas de haste).
qstr_Bodyguards_allows_yo|Guarda-costas permite que seus companheiros lhe acompanhem dentro das cidades e aldeias. O número de guarda-costas depende da sua habilidade em Liderança e Renome.
qstr_The_Weather_Proficie|A Penalidade de Distância pelo Clima diminui a proficiência das armas de longo alcance para todas as tropas em uma batalha sob forte névoa, chuva/neve ou à noite, de modo a refletir as pobres condições da arcos.
qstr_Disabling_NPC_Compla|Desabilitar Reclamações dos Companheiros irá silenciar as queixas sobre outros herois ou sobre as decisões que você tomou. Entretanto, isso não removerá as consequências das opiniões de cada um.
qstr_The_cheat/debug_mode|O modo trapaça/debug ativa as mensagens de debug como também o 'cheatmenu' no Menu de Acampamento e opções adicionais de relatórios.
qstr_Keys_Configuration|Teclas de Configuração
qstr_Press_Esc_to^^Disabl|Pressione Esc para^^Desativar uma tecla
qstr_DeathCam_Mouse_Sensi|Câmera da Morte - Sensividade do Mouse
qstr_OK|OK
qstr_Reset|Resetar
qstr_Default|Padrão
qstr_Mod_Options|Opções do Mod
qstr_Press_a_key|Pressione uma tecla
qstr_{s10}___Formation_ty|{s10} - Ordens de Tipos de Formação
qstr_{s11}___Weapon_order|{s11} - Ordens de Arma
qstr_{s12}___Shield_order|{s12} - Ordens de Escudo
qstr_{s13}___Attack_order|{s13} - Ordens de Ataque
qstr_{s10}___Ranks|{s10} - Fileiras
qstr_{s11}___Shieldwall|{s11} - Parede de Escudos
qstr_{s12}___Wedge|{s12} - Cunha
qstr_{s13}___Square|{s13} - Quadrado
qstr_{s14}___No_Formation|{s14} - Sem Formação
qstr_{s15}___Escape_Menu|{s15} - Menu de Saída
qstr_{s11}___One_Handers|{s11} - Uma Mão
qstr_{s12}___Two_Handers|{s12} - Duas Mãos
qstr_{s13}___Polearms|{s13} - Armas de Haste
qstr_{s14}___Ranged|{s14} - Armas de Longo Alcance
qstr_{s11}___Use_Shields|{s11} - Usem escudos
qstr_{s12}___No_Shields|{s12} - Sem Escudos
qstr_{s13}___Free|{s13} - Livre
qstr_{s10}___End_Order|{s10} - Finalizar Ordem
qstr_{s11}___Skirmish|{s11} - Escaramuça
qstr_{s12}___Volley_Fire|{s12} - Salva de Armas
qstr_{s13}___Brace_Polear|{s13} - Apoiar Lanças
qstr_DeathCam|Câmera da Morte
qstr_Camera|Câmera
qstr_Follow|Seguir
qstr_Free|Livre
qstr_Troop_Assignments|Distribuição de Tropas
qstr_Split_Troops_into_Se|Dividir Tropas em Divisões Secundárias
qstr_Troops_by^_Primary_D|Tropas por^ Divisão Primária
qstr_#_in^Main_Division|# em^Divisão Principal
qstr_Show/^Hide|Mostrar/^Esconder
qstr_#_in^Secondary_Divis|# em^Divisão Secundária
qstr_Secondary^Division|Secundária^Divisão
qstr_Disabled|Desativado
qstr_Split_Active|Dividir Ativo
qstr_Clear_All|Limpar tudo
qstr_Discard_Changes|Descartar Mudanças
qstr_Save|Salvar
qstr_CURRENT_COMMANDER_S_|RELATÓRIO DO ATUAL COMANDANTE!
qstr_Your_Commander:_{s19|Seu Comandante: {s19}
qstr_Commander_Relation:_|Relação com o Comandante: {reg0}
qstr_Enlisted_Faction:_{s|Servindo na Facção: {s20}
qstr_Current_Rank:_{s21}|Hierarquia Atual: {s21}
qstr_N/A|N/A
qstr_Experience_to_next_p|Experiência para a próxima promoção: {s1}
qstr_Days_in_service:_{re|Dias à serviço: {reg20}
qstr_Current_Wage:_{reg23|Salário Atual: {reg23} denares.
qstr_Next_Pay/Promotion_d|Próximo Pagamento/Dia da Promoção: {s25}
qstr_Army_size:_{reg26}|Tamanho do Exército: {reg26}
qstr_Commander_s_Army|Exército do Comandante
qstr_DEBUG__TPE_:_Added__|DEBUG (TPE): Adicionado "{s1}" para o menu de escolha de personagem.  Espaço #{reg31}
qstr_TOURNAMENT_SETTINGS|CONFIGURAÇÕES DE TORNEIO
qstr_You_have_nothing.|Você não possui nada.
qstr_Your_weapon_selectio|Sua seleção de armas é adequada.
qstr_Display_Settings|Configurações de Exibição
qstr_Combat_Settings|Configurações de Combate
qstr_ERROR!|ERRO!
qstr_Global_Options|Opções Globais
qstr_Renown_Scaling|Escala de Renome
qstr_Enable_level_scaling|Habilitar escala de nível
qstr_Display_Options|Opções de Exibição
qstr_Show_combat_display|Mostrar tela de combate
qstr_Show_health_bars|Mostrar barras de saúde
qstr_Show_team_points_awa|Mostrar pontos de time concedidos
qstr_Show_teammate_s_dama|Mostrar dano dos membros do time
qstr_Show_when_awards_are|Mostrar quando prêmios são conquistados
qstr_Show_when_points_are|Mostrar quando pontos são concedidos
qstr_Team:|Time:
qstr_Wager:|Aposta:
qstr__| 
qstr_{reg21}_denars|{reg21} denares
qstr_Bid:|Objetivo:
qstr_Difficulty:|Dificuldade:
qstr_Random_team_number_a|Número de time e tamanhos aleatórios
qstr_Match:_{reg2}_teams_|Partida: {reg2} times de {reg3} membros
qstr_Individual_Options|Opções Individuais
qstr_Always_randomize_equ|Sempre aleatorizar equipamento
qstr_Weapon_Choices______|Escolha de Armas                                         Proficiência
qstr_Lance_&_Shield|Lança e Escudo
qstr_Bow_&_Arrow|Arco e Flecha
qstr_One_Handed_&_Shield|Uma Mão e Escudo
