str_no_string|NO STRING!
str_qst_follow_spy_noticed_you|O espião lhe viu! Ele está fugindo!
str_s3s_s2|{s2} do {s3}
str_s5_is_s51|{s5} é {s51}.
str_s5_is_the_ruler_of_s51|{s5} é o soberano do {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} é {reg4?uma:um} nobre do {s6}.
str_relation_mnus_100|Vingativo
str_relation_mnus_90|Vingativo
str_relation_mnus_80|Vingativo
str_relation_mnus_70|Odioso
str_relation_mnus_60|Odioso
str_relation_mnus_50|Hostil
str_relation_mnus_40|Irritado
str_relation_mnus_30|Ressentido
str_relation_mnus_20|Relutante
str_relation_mnus_10|Desconfiado
str_relation_plus_0|Indiferente
str_relation_plus_10|Cooperativo
str_relation_plus_20|Acolhedor
str_relation_plus_30|Favorável
str_relation_plus_40|Solidário
str_relation_plus_50|Amigável
str_relation_plus_60|Gentil
str_relation_plus_70|Afetuoso
str_relation_plus_80|Leal
str_relation_plus_90|Devoto
str_relation_mnus_100_ns|{s60} lhe é um inimigo jurado.
str_relation_mnus_90_ns|{s60} anseia por vingança contra você.
str_relation_mnus_80_ns|{s60} anseia por vingança contra você.
str_relation_mnus_70_ns|{s60} lhe odeia.
str_relation_mnus_60_ns|{s60} lhe odeia.
str_relation_mnus_50_ns|{s60} é hostil com você.
str_relation_mnus_40_ns|{s60} está irritado com você.
str_relation_mnus_30_ns|{s60} sente rancor a você.
str_relation_mnus_20_ns|{s60} é relutante com você.
str_relation_mnus_10_ns|{s60} suspeita de você.
str_relation_plus_0_ns|{s60} é indiferente a você.
str_relation_plus_10_ns|{s60} coopera com você.
str_relation_plus_20_ns|{s60} lhe acolhe com agrado.
str_relation_plus_30_ns|{s60} lhe é favorável.
str_relation_plus_40_ns|{s60} lhe apoia.
str_relation_plus_50_ns|{s60} é amigável com você.
str_relation_plus_60_ns|{s60} é gentil com você.
str_relation_plus_70_ns|{s60} sente afeto por você.
str_relation_plus_80_ns|{s60} é leal a você.
str_relation_plus_90_ns|{s60} mostra devoção a você.
str_relation_reg1| Relação: {reg1}
str_center_relation_mnus_100|A população lhe odeia fervorosamente
str_center_relation_mnus_90|A população lhe odeia intensamente
str_center_relation_mnus_80|A população lhe odeia fortemente
str_center_relation_mnus_70|A população lhe odeia
str_center_relation_mnus_60|A população mostra-se desagradável com você
str_center_relation_mnus_50|A população é extremamente hostil com você
str_center_relation_mnus_40|A população é muito hostil com você
str_center_relation_mnus_30|A população é hostil com você
str_center_relation_mnus_20|A população está contra você
str_center_relation_mnus_10|A população se opõe a você
str_center_relation_plus_0|A população é indiferente a você
str_center_relation_plus_10|A população lhe aceita
str_center_relation_plus_20|A população coopera com você
str_center_relation_plus_30|A população lhe apoia um pouco
str_center_relation_plus_40|A população lhe apoia
str_center_relation_plus_50|A população lhe apoia completamente
str_center_relation_plus_60|A população é leal a você
str_center_relation_plus_70|A população é muito leal a você
str_center_relation_plus_80|A população sente devoção por você
str_center_relation_plus_90|A população lhe é completamente devota
str_town_prosperity_0|A pobreza da cidade de {s60} é insuportável.
str_town_prosperity_10|A miserável cidade de {s60} está praticamente deserta.
str_town_prosperity_20|A cidade de {s60} parece um lugar desolado e triste.
str_town_prosperity_30|A cidade de {s60} parece pobre e descuidada.
str_town_prosperity_40|A cidade de {s60} parece estar passando por dificuldades.
str_town_prosperity_50|A cidade de {s60} não chama a atenção por nada.
str_town_prosperity_60|A cidade de {s60} parece estar prosperando.
str_town_prosperity_70|A próspera cidade de {s60} agita-se de atividade.
str_town_prosperity_80|A cidade de {s60} parece rica e bem mantida.
str_town_prosperity_90|A cidade de {s60} é rica e suas ruas estão cheias de gente de bem.
str_town_prosperity_100|A esplendorosa cidade de {s60} presume-se abertamente de suas riquezas.
str_village_prosperity_0|A pobreza da aldeia de {s60} é insuportável.
str_village_prosperity_10|A aldeia de {s60} parece terrivelmente pobre e miserável.
str_village_prosperity_20|A aldeia de {s60} parece muito pobre e abandonada.
str_village_prosperity_30|A aldeia de {s60} parece pobre e descuidada.
str_village_prosperity_40|A aldeia de {s60} parece estar passando por dificuldades.
str_village_prosperity_50|A aldeia de {s60} não chama a atenção por nada.
str_village_prosperity_60|A aldeia de {s60} parece estar prosperando.
str_village_prosperity_70|A aldeia de {s60} parece exuberante e próspera.
str_village_prosperity_80|A aldeia de {s60} parece rica e bem mantida.
str_village_prosperity_90|A aldeia de {s60} parece muito próspera e rica.
str_village_prosperity_100|A aldeia de {s60}, rodeada de amplos pastos verdes, parece imensamente rica.
str_town_alt_prosperity_0|Os poucos artigos que vendem no mercado parecem estar muito acima do alcance da população. As pessoas estão desnutridas, seus animais estão doentes ou moribundos, e as ferramentas de suas oficinas e tendas parecem estar inutilizáveis. As vielas foram abandonadas às moscas e aos cães sarnentos.
str_town_alt_prosperity_20|Você escuta algumas queixas no mercado sobre o preço dos artigos de primeira necessidade e as tendas estão meio vazias. Você pode ver alguns sinais de desnutrição tanto nas pessoas como nos animais, os edifícios estão muito deteriorados e as ferramentas de trabalho meio quebradas. Seguramente muitos já emigraram a outras terras para poder sobreviver.
str_town_alt_prosperity_40|Ocasionalmente você ouve o murmúrio de queixas no mercado sobre o preço dos artigos de uso diário, mas parece que há uma razoável quantidade de produtos à venda. Às vezes você observa um edifício abandonado, uma tenda vazia ou alguma carroça desmantelada, mas nada fora do comum.
str_town_alt_prosperity_60|O povo está relativamente bem alimentado e satisfeito. Os artesãos atuam em seus prósperos negócios, e algumas pessoas de outras terras parecem estar vindo aqui para tentar a sorte.
str_town_alt_prosperity_80|As muralhas, as ruas e as casas estão muito bem conservadas. Os mercados estão repletos de viajantes das regiões próximas, atraídos pela boa disponibilidade de bens e trabalho. O ritmo dos martelos e demais ferramentas evidenciam bem a prosperidade das oficinas artesanais.
str_village_alt_prosperity_0|Apenas um punhado de gente é forte o suficiente para lavrar os campos, muitos dos quais estão se tornando pântanos invadidos por ervas daninhas. O resto das pessoas são fracas e desnutridas, isso se já não tiverem fugido para outro lugar. Os animais de tração há tempos que morreram por inanição ou foram devorados, ainda que seus restos permaneçam nos arredores da aldeia onde os ossos são devorados pelas aves de rapina.
str_village_alt_prosperity_20|Alguns agricultores e seus animais povoam os campos, mas são tão poucos que muitos camponeses poderiam emigrar em busca de melhor alimentação. As ferramentas agrícolas e de lavoura estão descuidadas e muitas vezes inservíveis, enquanto a erva daninha ganha terreno nos campos mais distantes.
str_village_alt_prosperity_40|Os campos e hortas estão sendo bem aproveitados, com os aldeões trabalhando conforme as estações. Tanto as pessoas como os animais parecem bem alimentados e gozam de um aspecto saudável. No entanto, alguns terrenos nas áreas mais remotas estão sem cultivar, e parte das paredes e cercas permanecem sem reparo, o que sugere que ainda não há mão de obra suficiente para todo o trabalho a ser feito.
str_village_alt_prosperity_60|Os campos e hortas agitam-se de atividade, os sacos cheios de grãos e carne seca vão de um lado a outro, dando testemunho da fertilidade das terras de lavoura e dos pastos desta região.
str_village_alt_prosperity_80|Os campos e hortas agitam-se de atividade. Os canais de irrigação recém cavados sugerem claramente que os agricultores possuem tempo e energias suficientes para ampliar a superfície cultivável. Enquanto isso, trabalhadores de temporada vêm aqui para ajudar com o trabalho conforme as estações e contribuir para a prosperidade geral da região.
str_oasis_village_alt_prosperity_0|As tamareiras estão praticamente abandonadas, e os canais que os regam encontram-se obstruídos com lama e terra. O punhado de camponeses que você pode ver está claramente malnutrido e exausto. Os animais de tração há tempos que morreram de fome ou foram devorados, ainda que seus restos nos arredores estejam sendo devorados por alguns chacais do deserto.
str_oasis_village_alt_prosperity_20|Você pode ver só alguns poucos aldeões atendendo as tamareiras, enquanto que em alguns lugares as dunas do deserto parecem estar invadindo vorazmente os jardins. Muitos dos canais de água estão obstruídos com lama e os depósitos se encheram de água.
str_oasis_village_alt_prosperity_40|Homens e mulheres estão muito ocupados cuidando das tamareiras e subindo nas árvores para colher frutas. Enquanto isso, há saudáveis e fortes animais impulsionando as bombas e moinhos que levam a água para os campos. Alguns dos canais de irrigação e os poços poderiam, no entanto, requerer algumas reparações.
str_oasis_village_alt_prosperity_60|As tamareiras e hortas agitam-se de atividade. Os agricultores ajudam uns aos outros alegremente desde as copas das árvores, onde cuidam das frutas de temporada. O ranger da madeira das bombas de água, os mugidos dos animais de tração, e a torrente de água que flui indica claramente que o sistema de irrigações prospera sem contratempos graças ao trabalho dos aldeões.
str_oasis_village_alt_prosperity_80|As tamareiras agitam-se de atividade, já que os agricultores conseguiram uma abundante colheita nesta temporada para vender no mercado. Homens e mulheres trabalham duro escavando novos poços e canais, para que a irrigação chegue a mais terras.
str_acres_grain|acres de campos de trigo
str_acres_orchard|acres de hortas e vinhas
str_acres_oasis|acres de jardins com irrigação
str_looms|teares
str_boats|barcos
str_head_cattle|cabeças de gado bovino
str_head_sheep|cabeças de gado ovino
str_mills|moinhos
str_kilns|fornos
str_pans|morteiros
str_forest|florestas
str_deposits|depósitos
str_hives|colméias
str_breweries|cervejarias
str_presses|prensas
str_smithies|ferrarias
str_caravans|caravanas
str_traps|carruagens
str_gardens|pequenos jardins
str_tanneries|cubas de corantes
str_master_miller|Mestre Moleiro
str_master_brewer|Mestre Cervejeiro
str_master_presser|Mestre Prensador
str_master_smith|Mestre Ferreiro
str_master_tanner|Mestre Curtidor
str_master_weaver|Mestre Tecelão
str_master_dyer|Mestre Tintureiro
str_war_report_minus_4|estamos prestes a perder a guerra
str_war_report_minus_3|a situação é difícil
str_war_report_minus_2|as coisas não vão muito bem para nós
str_war_report_minus_1|ainda podemos ganhar a guerra se nos esforçarmos
str_war_report_0|estamos igualados ao inimigo
str_war_report_plus_1|temos uma pequena chance de ganhar a guerra
str_war_report_plus_2|as coisas vão bastante bem
str_war_report_plus_3|não teremos dificuldades para vencer
str_war_report_plus_4|estamos prestes a ganhar a guerra
str_persuasion_summary_very_bad|Você tenta persuadir {s50}, mas parece que seus argumentos não lhe convencem. Toda vez que diz algo significativo, parece que o aborda com algo incorreto que o faz perder a linha de raciocínio. Ao terminar, você não pôde dizer nada medianamente coerente a seu favor e se dá conta de que a única coisa que fez foi se afundar mais. {s50} não ficou com uma impressão favorável.
str_persuasion_summary_bad|Você tenta persuadir {s50}, mas {reg51?ela:ele} lhe domina desde o início. Até mesmo seus melhores argumentos soam vazios em sua cabeça. {s50}, de sua parte, não crê que o que você disse tenha muito sentido.
str_persuasion_summary_average|{s50} acaba por ser inteligente e convincente, e parece que você é incapaz de apresentar-lhe um argumento que {reg51?ela:ele} não seja capaz de contrariar com racionalidade. No final, nenhum de vocês consegue ganhar terreno nessa discussão.
str_persuasion_summary_good|Graças a sua lucidez mental e bons argumentos, você é capaz de expor o seu caso, forçando {s50} a conceder-lhe a razão várias vezes. No entanto, {reg51?ela:ele} ainda mantém dúvidas sobre sua petição.
str_persuasion_summary_very_good|Seu apaixonante discurso ressoa nos ouvidos dos ouvintes como se fosse poesia. Parece que o mundo inteiro guardara silêncio para poder escutar-lhe melhor. Suas palavras emocionaram profundamente {s50} e {reg51?ela:ele} parece muito mais propenso a ajudar-lhe.
str_secret_sign_1|O armário dança à meia-noite...
str_secret_sign_2|Vendo estes maravilhosos tapetes khergitas. Deseja comprar um?
str_secret_sign_3|O amigo de um amigo me enviou...
str_secret_sign_4|O vento sopra forte do leste e o rio fica vermelho...
str_countersign_1|Mas dança com a cômoda ou com o castiçal?
str_countersign_2|Sim, você tem algum azul?
str_countersign_3|Mas meu amigo, o amigo do seu amigo nunca terá um amigo como eu.
str_countersign_4|Esteve doente?
str_name_1|Albard
str_name_2|Euscarl
str_name_3|Sigmar
str_name_4|Talesqe
str_name_5|Ritmand
str_name_6|Aels
str_name_7|Raurqe
str_name_8|Bragamus
str_name_9|Taarl
str_name_10|Ramin
str_name_11|Shulk
str_name_12|Putar
str_name_13|Tamus
str_name_14|Reichad
str_name_15|Walcheas
str_name_16|Rulkh
str_name_17|Marlund
str_name_18|Auguryn
str_name_19|Daynad
str_name_20|Joayah
str_name_21|Ramar
str_name_22|Caldaran
str_name_23|Brabas
str_name_24|Kundrin
str_name_25|Pechnak
str_surname_1|{s50} de Uxhal
str_surname_2|{s50} de Wercheg
str_surname_3|{s50} de Reyvadin
str_surname_4|{s50} de Suno
str_surname_5|{s50} de Jelkala
str_surname_6|{s50} de Veluca
str_surname_7|{s50} de Halmar
str_surname_8|{s50} de Curaw
str_surname_9|{s50} de Sargoth
str_surname_10|{s50} de Tihr
str_surname_11|{s50} de Zendar
str_surname_12|{s50} de Rivacheg
str_surname_13|{s50} de Wercheg
str_surname_14|{s50} de Ehlerdag
str_surname_15|{s50} de Yaragar
str_surname_16|{s50} de Burglen
str_surname_17|{s50} de Shapeshte
str_surname_18|{s50} de Hanun
str_surname_19|{s50} de Saren
str_surname_20|{s50} de Tosdhar
str_surname_21|{s50}, o Longo
str_surname_22|{s50}, o Magro
str_surname_23|{s50} Barbaseda
str_surname_24|{s50}, o Pardal
str_surname_25|{s50}, o Pobre
str_surname_26|{s50}, o Marcado
str_surname_27|{s50}, o Belo
str_surname_28|{s50}, o Inflexível
str_surname_29|{s50}, o Vermelho
str_surname_30|{s50}, o Negro
str_surname_31|{s50}, o Alto
str_surname_32|{s50} Olhos Brilhantes
str_surname_33|{s50}, o Intrépido
str_surname_34|{s50}, o Valente
str_surname_35|{s50}, o Astuto
str_surname_36|{s50}, o Covarde
str_surname_37|{s50}, o Brilhante
str_surname_38|{s50}, o Rápido
str_surname_39|{s50}, o Trovador
str_surname_40|{s50}, o Arrojado
str_surname_41|{s50}, o Tonto
str_surnames_end|fim dos apelidos
str_girl_name_1|Faylinn
str_girl_name_2|Leuedai
str_girl_name_3|Hulda
str_girl_surname_1|{s50}, a Justa
str_girl_surname_2|{s50}, a Simplória
str_girl_surname_3|{s50} do Sorriso Largo
str_girl_surname_4|{s50} das Belas Ancas
str_girl_surname_5|{s50} Baxter
str_girl_surname_6|{s50}, a Agricultora
str_girl_surname_7|{s50}, a Fabricante
str_girl_surname_8|{s50}, a Tanoeira
str_girl_surname_9|{s50}, a Pescadora
str_girl_surname_10|{s50}, a Harpista
str_girl_surname_11|{s50} Inman
str_girl_surname_12|{s50} Paula Tejando
str_girl_surname_13|{s50}, a Cozinheira
str_girl_surname_14|{s50}, a Dama de Honra
str_girl_surname_15|{s50} Payne
str_girl_surname_16|{s50}, a Romeira
str_girl_surname_17|{s50} Rolfe
str_girl_surname_18|{s50}, a Ferreira
str_girl_surname_19|{s50} de Aço
str_girl_surname_20|{s50} Taylor
str_girl_surname_21|{s50}, a Carroceira
str_girl_surname_22|{s50} Walter
str_girl_surname_23|{s50}, a Aranha
str_girl_surname_24|{s50} da Rocha
str_girl_surname_25|{s50} Wallace
str_girl_surname_26|{s50} Pernas Longas
str_girl_surname_27|{s50} Morrell
str_girl_surname_28|{s50} Branqueça
str_girl_surname_29|{s50} Lábios de Seda
str_girl_surname_30|{s50} Terror das Aldeias
str_girl_surnames_end|girl surnames end
str_number_of_troops_killed_reg1|Número de tropas mortas: {reg1}
str_number_of_troops_wounded_reg1|Número de tropas feridas: {reg1}
str_number_of_own_troops_killed_reg1|Número de tropas aliadas mortas: {reg1}
str_number_of_own_troops_wounded_reg1|Número de tropas aliadas feridas: {reg1}
str_retreat|Retirada!
str_siege_continues|A luta continua...
str_casualty_display|Suas baixas: {s10}^Baixas inimigas: {s11}{s12}
str_casualty_display_hp|^Você foi ferido por {reg1} pontos de golpe.
str_quest_log_updated|O diário de missões foi atualizado...
str_banner_selection_text|Foi-lhe concedido o direito de portar um estandarte. Seu estandarte representa sua área de influência e lhe proporciona honra. Que estandarte você escolherá?
str_retirement_text_1|Você se dá conta muito tarde de que seu dinheiro não durará muito mais. Você desperdiçou rapidamente o pouco que conseguiu economizar e sempre fracassa em suas desesperadas tentativas de voltar à aventura. Seus dias terminam em {s9}, mendigando pelas ruas e vivendo da benevolência da igreja.
str_retirement_text_2|Você se dá conta muito tarde de que seu dinheiro não durará muito mais. Você desperdiçou rapidamente o pouco que conseguiu economizar. Uma vez que o último denar evaporou-se em suas mãos, não há mais remédio que sair para roubar pelas vielas de {s9}, utilizando suas habilidades para ganhar o próprio sustento roubando trocados das mulheres e cidadãos pobres.
str_retirement_text_3|Você se dá conta muito tarde de que seu dinheiro não durará muito mais. Você desperdiçou rapidamente o pouco que conseguiu economizar e acaba vagabundeando e sem rumo, indo de taverna em taverna e mendigando bebidas a clientes indulgentes em troca de presentear-lhes com relatos sobre a guerra, que ninguém acredita.
str_retirement_text_4|O dinheiro que você economizou não dura muito tempo, mas você é capaz de reunir o suficiente para assentar-se próximo a aldeia de {s7}. Lá você monta sua própria fazenda e logo começam a aparecer potenciais {esposas/maridos}. Com o tempo, os camponeses começam a tratá-l{o/a} como {um herói/uma heroína} local. Sempre lhe cedem um lugar de honra nas festas e suas façanhas são narradas uma vez e outra nas tavernas, para que os rapazes conservem para sempre a sua memória.
str_retirement_text_5|O dinheiro que você economizou não dura muito tempo, mas é suficiente para comprar uma pequena taverna em {s9}. Embora no princípio os locais desconfiassem de você, logo lhe aceitam entre os seus. Com o tempo, sua taverna torna-se um popular centro de diversão e reuniões. As pessoas chegam de lugares remotos para comer ou alojar-se, devido a sua fama e as histórias épicas que conta de seus dias como {aventureiro/aventureira}.
str_retirement_text_6|Você soube economizar ao longo de sua carreira e agora seu dinheiro e inteligência lhe permitem fazer vários excelentes investimentos para garantir seu futuro. Após comprar várias tendas e armazéns em {s9}, sua sagacidade {o/a} converte em {um/uma} dos mercadores mais proeminentes da cidade e logo lhe conhecem tanto por seu império comercial como por suas façanhas em batalha.
str_retirement_text_7|Ao ser um nobre, ainda que menor, seu futuro está assegurado. Você se assenta em suas posses de {s7}, gerenciando a aldeia e seus campos, ministrando justiça nas cortes locais e cumprindo suas obrigações para com seu senhor feudal. Ocasionalmente, seu senhor {o/a} chama para que dirija suas campanhas, mas trata-se de períodos curtos e você nunca volta realmente às aventuras de seus dias de jovem. Você já fez sua fortuna. Com as propriedades que possui, há poucos caprichos que seus rendimentos não lhe possam permitir.
str_retirement_text_8|Não há dúvida de que você teve grande êxito na vida. Suas enormes propriedades e a fortuna acumulada durante seus dias de aventura são suficientes para garantir-lhe uma vida fácil durante o resto de seus dias. Ao retirar-se para seu nobre assentamento em {s8}, você troca a aventura pela política, e logo se estabelece com um grande poder dentro do reino de seu senhor feudal. Entretendo-se com as intrigas, suas próprias florestas para caçar, um grande salão para celebrações e uma centena de épicas histórias de guerra para contar, seus anos seguintes passam sem mais preocupações.
str_retirement_text_9|Como recompensa por seu competente e nobre serviço, seu senhor feudal decreta que lhe entregará um título hereditário, lhe unindo assim à nobreza maior do reino. Logo você se encontra como {Barão/Baronesa} de {s7}, convertendo-se a um cargo de confiança para seu senhor feudal. Graças a seu renome, sua influência e seu poder político encoberto crescem. Agora você passa seus dias jogando jogos de poder, gerenciando seus grandes feudos e relembrando os velhos tempos de aventuras e glória.
str_retirement_text_10|Apesar de suas origens humildes, seu senhor feudal {o/a} tem em grande estima e a surpresa percorre o reino quando lhe é concedido o título hereditário de {Conde/Condessa} de {s9}. Vastos feudos e fortunas agora são seus. Logo você é convertid{o/a} {no conselheiro/na conselheira} mais importante de seu senhor feudal, quase seu igual, e responsável por grande parte da administração de seu reino, enquanto se senta no trono de seu próprio palácio como uma das figuras mais poderosas de Calradia.
str_loot_village|atacar aldeões inocentes
str_steal_from_villagers|roubar pobres aldeões
str_rob_caravan|roubar uma caravana de mercadores
str_sell_slavery|vender escravos
str_men_hungry|não ter comida
str_men_unpaid|não poder pagar os salários dos homens
str_excessive_casualties|fazer de todas as batalhas um banho de sangue
str_surrender|render-se frente ao inimigo
str_flee_battle|fugir da batalha
str_pay_bandits|pagar aos bandidos
str_fail_quest|não poder completar uma missão que aceitamos sob palavra de honra
str_squander_money|desperdiçar o dinheiro que nos foi confiado
str_murder_merchant|assassinar a sangue frio
str_round_up_serfs|recrutar servos para um nobre
str_battle_fate_1|Nos separamos em meio à batalha
str_battle_fate_2|Fui ferido e pensaram que eu havia morrido
str_battle_fate_3|O inimigo me deixou inconsciente
str_battle_fate_4|Fui aprisionado e pediram uma recompensa por mim
str_battle_fate_5|Fui capturado, mas consegui escapar
str_npc_morale_report|{playername}, {s6} a sua escolha de companheiros, {s7} o seu estilo de liderança e {s8} como vão as coisas.
str_happy|estou feliz com
str_content|me alegra
str_concerned|me preocupa
str_not_happy|não estou nada feliz com
str_miserable|me horroriza
str_morale_reg1| Moral: {reg1}
str_bar_enthusiastic|                   Entusiasta
str_bar_content|              Satisfeito
str_bar_weary|          Cansado
